ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E1136,zai,guie' gardenia,s,gye7 garde*nya,RLC14;VC17
E0550,zai,guie' guchi,s,gye7 guchi,JLC;RLC04;RLC10;RLC14
E1265,zai,guie' guiichi biduaa,s,gye7 guiichi* bi-dwaa,VC17
E0551,zai,guie' guiichi gu,s,gye7 giichi* gu,RLC04;RLC10;FSL14
E0552,zai,guie' guitu,s,gye7 gitu,RGL03;RLC10
E0566,zai,guie' huaxhinni,s,gye7 wa-xinni,JLC;RLC10;RLC14
E0554,zai,guie' isora,s,gye7 i-so*ra,RLC04;RLC10;VC17
E0568,zai,guie' jamaica,s,gye7 jama!y-ka,RLC04
E1247,zai,guie' la'dxido',s,gye7 la7dxi=do7,VC17
E0555,zai,guie' moradu huiini',s,gye7 mora*du wiini,RLC04;RLC10
E0557,zai,guie' ortensia,s,gye7 orrte*nsya,RLC04;RLC10
E0558,zai,guie' papaya,s,gye7 papa*ya,RGL03;RLC04;RLC10
E1104,zai,guie' quinseañera,s,gye7 kinseanye*ra,RLC14
E0560,zai,guie' riele' huadxi,s,gye7 r.y.elle!' wa-dxi,JLC;RLC04;RCL10;RLC10
E0570,zai,guie' rrosa de castia,s,gye7 rro*sa de ka-stya!,RLC;RGL03;RLC04;RLC10
